fighter1,fighter2,odds1,odds2,winner,score,time,date,class
Alvey S.,Emeev R.,2.33,1.59,Emeev R.,PTS,15:45,21 Oct 2017,middleweight-ufc-men
Leites T.,Tavares B.,2.47,1.53,Tavares B.,PTS,22:30,07 Oct 2017,middleweight-ufc-men
Lombard H.,Smith A.,2.3,1.63,Smith A.,KO,02:00,17 Sep 2017,middleweight-ufc-men
Jotko K.,Hall U.,1.47,2.69,Hall U.,TKO,00:00,17 Sep 2017,middleweight-ufc-men
Bahadurzada S.,Wilkinson R.,1.71,2.13,Bahadurzada S.,TKO,19:00,02 Sep 2017,middleweight-ufc-men
Alvey S.,Evans R.,1.73,2.14,Alvey S.,PTS,02:00,06 Aug 2017,middleweight-ufc-men
Weidman C.,Gastelum K.,2.31,1.63,Weidman C.,SUBM,00:00,23 Jul 2017,middleweight-ufc-men
Natal R.,Anders E.,2.01,1.81,Anders E.,KO,22:00,22 Jul 2017,middleweight-ufc-men
Marshman J.,Janes R.,1.19,4.83,Marshman J.,PTS,19:00,16 Jul 2017,middleweight-ufc-men
Romero Y.,Whittaker R.,2.0,1.83,Whittaker R.,PTS,02:00,09 Jul 2017,middleweight-ufc-men
Tavares B.,Theodorou E.,1.91,1.91,Tavares B.,PTS,01:00,08 Jul 2017,middleweight-ufc-men
Boetsch T.,Hendricks J.,2.31,1.62,Boetsch T.,TKO,01:00,26 Jun 2017,middleweight-ufc-men
Miranda V.,Vettori M.,3.84,1.28,Vettori M.,PTS,23:00,25 Jun 2017,middleweight-ufc-men
Brunson D.,Kelly D.,1.36,3.21,Brunson D.,KO,02:00,11 Jun 2017,middleweight-ufc-men
Belfort V.,Marquardt N.,1.58,2.42,Belfort V.,PTS,02:00,04 Jun 2017,middleweight-ufc-men
Carlos Junior A.,Spicely E.,1.31,3.53,Carlos Junior A.,SUBM,00:00,04 Jun 2017,middleweight-ufc-men
Hermansson J.,Nicholson A.,1.6,2.37,Hermansson J.,TKO,17:00,28 May 2017,middleweight-ufc-men
Jotko K.,Branch D.,1.62,2.36,Branch D.,PTS,02:00,14 May 2017,middleweight-ufc-men
Leites T.,Alvey S.,1.81,1.99,Leites T.,PTS,00:00,23 Apr 2017,middleweight-ufc-men
Souza R.,Whittaker R.,1.37,3.12,Whittaker R.,TKO,00:00,16 Apr 2017,middleweight-ufc-men
Smith A.,Sanchez A.,3.62,1.29,Smith A.,KO,20:00,15 Apr 2017,middleweight-ufc-men
Weidman C.,Mousasi G.,2.01,1.8,Mousasi G.,TKO,02:00,09 Apr 2017,middleweight-ufc-men
Scott B.,Askham S.,2.3,1.62,Scott B.,PTS,18:25,18 Mar 2017,middleweight-ufc-men
Belfort V.,Gastelum K.,3.8,1.28,Gastelum K.,TKO,03:00,12 Mar 2017,middleweight-ufc-men
McLellan G.,Costa P. H.,3.59,1.3,Costa P. H.,TKO,00:00,12 Mar 2017,middleweight-ufc-men
Hendricks J.,Lombard H.,1.94,1.87,Hendricks J.,PTS,02:00,20 Feb 2017,middleweight-ufc-men
Marshman J.,Santos T.,2.4,1.59,Santos T.,TKO,00:00,20 Feb 2017,middleweight-ufc-men
Hall U.,Lewis B.,2.24,1.67,Hall U.,KO,00:00,30 Dec 2018,middleweight-ufc-men
Meerschaert G.,Hermansson J.,2.37,1.58,Hermansson J.,SUBM,22:30,15 Dec 2018,middleweight-ufc-men
Theodorou E.,Anders E.,1.79,2.03,Theodorou E.,PTS,01:00,09 Dec 2018,middleweight-ufc-men
Stewart D.,Shahbazyan E.,1.92,1.9,Shahbazyan E.,PTS,03:30,01 Dec 2018,middleweight-ufc-men
Holland K.,Phillips J.,1.18,4.95,Holland K.,SUBM,08:45,24 Nov 2018,middleweight-ufc-men
Ferreira C.,Heinisch I.,1.51,2.6,Heinisch I.,PTS,04:00,18 Nov 2018,middleweight-ufc-men
Weidman C.,Souza R.,1.57,2.44,Souza R.,TKO,03:30,04 Nov 2018,middleweight-ufc-men
Roberson K.,Marshman J.,1.31,3.55,Roberson K.,PTS,02:30,04 Nov 2018,middleweight-ufc-men
Leites T.,Lombard H.,1.71,2.2,Leites T.,PTS,23:00,22 Sep 2018,middleweight-ufc-men
Murtazaliev K.,Dollaway CB,1.58,2.44,Murtazaliev K.,TKO,17:30,15 Sep 2018,middleweight-ufc-men
Byrd C.,Stewart D.,1.52,2.6,Stewart D.,TKO,00:00,09 Sep 2018,middleweight-ufc-men
Anders E.,Williams T.,1.1,7.71,Anders E.,KO,02:00,26 Aug 2018,middleweight-ufc-men
Santos T.,Holland K.,1.29,3.71,Santos T.,PTS,02:00,05 Aug 2018,middleweight-ufc-men
Miranda V.,Azaitar A.,2.74,1.47,Azaitar A.,PTS,19:35,22 Jul 2018,middleweight-ufc-men
Hall U.,Costa P. H.,3.59,1.31,Costa P. H.,TKO,01:30,08 Jul 2018,middleweight-ufc-men
Tavares B.,Adesanya I.,1.95,1.89,Adesanya I.,PTS,04:00,07 Jul 2018,middleweight-ufc-men
Meerschaert G.,Piechota O.,2.94,1.42,Meerschaert G.,SUBM,22:30,06 Jul 2018,middleweight-ufc-men
Whittaker R.,Romero Y.,1.38,3.15,Whittaker R.,PTS,04:00,10 Jun 2018,middleweight-ufc-men
Spicely E.,Stewart D.,1.59,2.37,Stewart D.,TKO,17:00,27 May 2018,middleweight-ufc-men
Theodorou E.,Smith T.,1.25,3.95,Theodorou E.,PTS,14:30,27 May 2018,middleweight-ufc-men
Souza R.,Gastelum K.,1.8,2.05,Gastelum K.,PTS,03:30,13 May 2018,middleweight-ufc-men
Ferreira C.,Roberson K.,1.74,2.15,Ferreira C.,SUBM,01:45,13 May 2018,middleweight-ufc-men
Leites T.,Hermansson J.,2.14,1.74,Hermansson J.,TKO,23:30,12 May 2018,middleweight-ufc-men
Branch D.,Santos T.,2.48,1.56,Branch D.,KO,02:00,22 Apr 2018,middleweight-ufc-men
Adesanya I.,Vettori M.,1.39,3.08,Adesanya I.,PTS,02:30,15 Apr 2018,middleweight-ufc-men
Jotko K.,Tavares B.,,,TKO,TKO,00:30,15 Apr 2018,middleweight-ufc-men
Phillips J.,Byrd C.,1.9,1.91,Byrd C.,SUBM,20:00,17 Mar 2018,middleweight-ufc-men
Dollaway CB,Lombard H.,2.01,1.8,Dollaway CB,TKO,01:30,04 Mar 2018,middleweight-ufc-men
Burkman J.,Morono A.,3.7,1.28,Morono A.,SUBM,23:00,18 Feb 2018,middleweight-ufc-men
Romero Y.,Rockhold L.,2.55,1.54,Romero Y.,KO,05:00,11 Feb 2018,middleweight-ufc-men
Machida L.,Anders E.,3.15,1.38,Machida L.,PTS,04:30,04 Feb 2018,middleweight-ufc-men
Souza R.,Brunson D.,1.9,1.9,Souza R.,KO,04:30,28 Jan 2018,middleweight-ufc-men
Park J. Y.,Barriault M.,2.06,1.76,Park J. Y.,PTS,10:30,21 Dec 2019,middleweight-ufc-men
Heinisch I.,Akhmedov O.,1.8,2.02,Akhmedov O.,PTS,01:30,15 Dec 2019,middleweight-ufc-men
Soriano P.,Piechota O.,1.88,1.93,Soriano P.,KO,23:30,14 Dec 2019,middleweight-ufc-men
Muradov M.,Smith T.,1.22,4.27,Muradov M.,KO,22:30,07 Dec 2019,middleweight-ufc-men
Arroyo A.,Muniz A.,2.04,1.8,Muniz A.,PTS,01:30,17 Nov 2019,middleweight-ufc-men
Arroyo A.,Holland K.,,,canc.,canc.,22:00,16 Nov 2019,middleweight-ufc-men
Gamzatov S.,Farias de Abreu K.,1.65,2.17,Gamzatov S.,PTS,19:00,09 Nov 2019,middleweight-ufc-men
Gastelum K.,Till D.,1.46,2.77,Till D.,PTS,03:30,03 Nov 2019,middleweight-ufc-men
Tavares B.,Shahbazyan E.,2.29,1.62,Shahbazyan E.,KO,00:00,03 Nov 2019,middleweight-ufc-men
Heinisch I.,Tavares B.,,,canc.,canc.,12:00,26 Oct 2019,middleweight-ufc-men
Winn D.,Stewart D.,1.79,2.06,Stewart D.,PTS,01:30,19 Oct 2019,middleweight-ufc-men
Holland K.,Allen B.,1.63,2.32,Allen B.,SUBM,22:30,18 Oct 2019,middleweight-ufc-men
Anders E.,Meerschaert G.,1.71,2.17,Anders E.,PTS,01:00,13 Oct 2019,middleweight-ufc-men
Vettori M.,Sanchez A.,1.26,3.92,Vettori M.,PTS,21:30,12 Oct 2019,middleweight-ufc-men
Whittaker R.,Adesanya I.,1.96,1.86,Adesanya I.,KO,03:30,06 Oct 2019,middleweight-ufc-men
Di Chirico A.,Sobotta P.,,,canc.,canc.,21:00,28 Sep 2019,middleweight-ufc-men
Amedovski A.,Phillips J.,1.78,2.06,Phillips J.,KO,17:30,28 Sep 2019,middleweight-ufc-men
Hall U.,Carlos Junior A.,3.08,1.39,Hall U.,PTS,00:30,15 Sep 2019,middleweight-ufc-men
Sanchez A.,Vettori M.,,,canc.,canc.,22:30,14 Sep 2019,middleweight-ufc-men
Yandiev A.,Soriano P.,,,canc.,canc.,02:00,08 Sep 2019,middleweight-ufc-men
Akhmedov O.,Cummings Z.,1.81,1.99,Akhmedov O.,PTS,14:30,07 Sep 2019,middleweight-ufc-men
Park J. Y.,Hernandez A.,2.25,1.66,Hernandez A.,SUBM,09:30,31 Aug 2019,middleweight-ufc-men
Romero Y.,Costa P. H.,1.67,2.24,Costa P. H.,PTS,03:00,18 Aug 2019,middleweight-ufc-men
Vieira R.,Piechota O.,1.45,2.77,Vieira R.,SUBM,00:30,11 Aug 2019,middleweight-ufc-men
Giles T.,Meerschaert G.,1.57,2.45,Meerschaert G.,SUBM,20:00,03 Aug 2019,middleweight-ufc-men
Barriault M.,Jotko K.,2.44,1.58,Jotko K.,PTS,02:00,28 Jul 2019,middleweight-ufc-men
Roberson K.,Turman W.,1.47,2.71,Roberson K.,PTS,00:30,14 Jul 2019,middleweight-ufc-men
Roberson K.,Phillips J.,,,canc.,canc.,21:00,13 Jul 2019,middleweight-ufc-men
Shahbazyan E.,Marshman J.,1.16,5.37,Shahbazyan E.,SUBM,23:15,06 Jul 2019,middleweight-ufc-men
Winn D.,Perez Echeimberg M.,,,canc.,canc.,01:00,23 Jun 2019,middleweight-ufc-men
Holland K.,Di Chirico A.,1.45,2.78,Holland K.,PTS,23:00,22 Jun 2019,middleweight-ufc-men
Lewis B.,Stewart D.,1.57,2.44,Stewart D.,PTS,22:45,08 Jun 2019,middleweight-ufc-men
Carlos Junior A.,Heinisch I.,1.57,2.4,Heinisch I.,PTS,01:00,19 May 2019,middleweight-ufc-men
Cummings Z.,Giles T.,2.41,1.57,Cummings Z.,SUBM,21:15,18 May 2019,middleweight-ufc-men
Cannonier J.,Silva A.,1.85,1.98,Cannonier J.,TKO,03:30,12 May 2019,middleweight-ufc-men
Brunson D.,Theodorou E.,1.93,1.87,Brunson D.,PTS,02:00,05 May 2019,middleweight-ufc-men
Souza R.,Hermansson J.,1.46,2.78,Hermansson J.,PTS,03:30,28 Apr 2019,middleweight-ufc-men
Park J. Y.,Barriault M.,2.06,1.76,Park J. Y.,PTS,10:30,21 Dec 2019,middleweight-ufc-men
Heinisch I.,Akhmedov O.,1.8,2.02,Akhmedov O.,PTS,01:30,15 Dec 2019,middleweight-ufc-men
Soriano P.,Piechota O.,1.88,1.93,Soriano P.,KO,23:30,14 Dec 2019,middleweight-ufc-men
Muradov M.,Smith T.,1.22,4.27,Muradov M.,KO,22:30,07 Dec 2019,middleweight-ufc-men
Arroyo A.,Muniz A.,2.04,1.8,Muniz A.,PTS,01:30,17 Nov 2019,middleweight-ufc-men
Arroyo A.,Holland K.,,,canc.,canc.,22:00,16 Nov 2019,middleweight-ufc-men
Gamzatov S.,Farias de Abreu K.,1.65,2.17,Gamzatov S.,PTS,19:00,09 Nov 2019,middleweight-ufc-men
Gastelum K.,Till D.,1.46,2.77,Till D.,PTS,03:30,03 Nov 2019,middleweight-ufc-men
Tavares B.,Shahbazyan E.,2.29,1.62,Shahbazyan E.,KO,00:00,03 Nov 2019,middleweight-ufc-men
Heinisch I.,Tavares B.,,,canc.,canc.,12:00,26 Oct 2019,middleweight-ufc-men
Winn D.,Stewart D.,1.79,2.06,Stewart D.,PTS,01:30,19 Oct 2019,middleweight-ufc-men
Holland K.,Allen B.,1.63,2.32,Allen B.,SUBM,22:30,18 Oct 2019,middleweight-ufc-men
Anders E.,Meerschaert G.,1.71,2.17,Anders E.,PTS,01:00,13 Oct 2019,middleweight-ufc-men
Vettori M.,Sanchez A.,1.26,3.92,Vettori M.,PTS,21:30,12 Oct 2019,middleweight-ufc-men
Whittaker R.,Adesanya I.,1.96,1.86,Adesanya I.,KO,03:30,06 Oct 2019,middleweight-ufc-men
Di Chirico A.,Sobotta P.,,,canc.,canc.,21:00,28 Sep 2019,middleweight-ufc-men
Amedovski A.,Phillips J.,1.78,2.06,Phillips J.,KO,17:30,28 Sep 2019,middleweight-ufc-men
Hall U.,Carlos Junior A.,3.08,1.39,Hall U.,PTS,00:30,15 Sep 2019,middleweight-ufc-men
Sanchez A.,Vettori M.,,,canc.,canc.,22:30,14 Sep 2019,middleweight-ufc-men
Yandiev A.,Soriano P.,,,canc.,canc.,02:00,08 Sep 2019,middleweight-ufc-men
Akhmedov O.,Cummings Z.,1.81,1.99,Akhmedov O.,PTS,14:30,07 Sep 2019,middleweight-ufc-men
Park J. Y.,Hernandez A.,2.25,1.66,Hernandez A.,SUBM,09:30,31 Aug 2019,middleweight-ufc-men
Romero Y.,Costa P. H.,1.67,2.24,Costa P. H.,PTS,03:00,18 Aug 2019,middleweight-ufc-men
Vieira R.,Piechota O.,1.45,2.77,Vieira R.,SUBM,00:30,11 Aug 2019,middleweight-ufc-men
Giles T.,Meerschaert G.,1.57,2.45,Meerschaert G.,SUBM,20:00,03 Aug 2019,middleweight-ufc-men
Barriault M.,Jotko K.,2.44,1.58,Jotko K.,PTS,02:00,28 Jul 2019,middleweight-ufc-men
Roberson K.,Turman W.,1.47,2.71,Roberson K.,PTS,00:30,14 Jul 2019,middleweight-ufc-men
Roberson K.,Phillips J.,,,canc.,canc.,21:00,13 Jul 2019,middleweight-ufc-men
Shahbazyan E.,Marshman J.,1.16,5.37,Shahbazyan E.,SUBM,23:15,06 Jul 2019,middleweight-ufc-men
Winn D.,Perez Echeimberg M.,,,canc.,canc.,01:00,23 Jun 2019,middleweight-ufc-men
Holland K.,Di Chirico A.,1.45,2.78,Holland K.,PTS,23:00,22 Jun 2019,middleweight-ufc-men
Lewis B.,Stewart D.,1.57,2.44,Stewart D.,PTS,22:45,08 Jun 2019,middleweight-ufc-men
Carlos Junior A.,Heinisch I.,1.57,2.4,Heinisch I.,PTS,01:00,19 May 2019,middleweight-ufc-men
Cummings Z.,Giles T.,2.41,1.57,Cummings Z.,SUBM,21:15,18 May 2019,middleweight-ufc-men
Cannonier J.,Silva A.,1.85,1.98,Cannonier J.,TKO,03:30,12 May 2019,middleweight-ufc-men
Brunson D.,Theodorou E.,1.93,1.87,Brunson D.,PTS,02:00,05 May 2019,middleweight-ufc-men
Souza R.,Hermansson J.,1.46,2.78,Hermansson J.,PTS,03:30,28 Apr 2019,middleweight-ufc-men
Fabinski B.,Muniz A.,1.66,2.21,Muniz A.,SUBM,23:00,05 Sep 2020,middleweight-ufc-men
Pitolo M.,Kasanganay I.,2.22,1.66,Kasanganay I.,PTS,00:30,30 Aug 2020,middleweight-ufc-men
Cummings Z.,Di Chirico A.,2.11,1.73,Cummings Z.,PTS,23:30,29 Aug 2020,middleweight-ufc-men
Romero Y.,Hall U.,,,canc.,canc.,23:00,22 Aug 2020,middleweight-ufc-men
Whittaker R.,Till D.,,,canc.,canc.,23:00,15 Aug 2020,middleweight-ufc-men
Akhmedov O.,Weidman C.,2.22,1.67,Weidman C.,PTS,02:30,09 Aug 2020,middleweight-ufc-men
Holland K.,Buckley J.,1.21,4.49,Holland K.,TKO,00:00,09 Aug 2020,middleweight-ufc-men
Sanchez A.,Turman W.,2.16,1.7,Sanchez A.,KO,23:00,08 Aug 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,3.87,1.26,Brunson D.,TKO,03:00,02 Aug 2020,middleweight-ufc-men
Giles T.,Park J. Y.,,,canc.,canc.,23:00,01 Aug 2020,middleweight-ufc-men
Whittaker R.,Till D.,1.73,2.14,Whittaker R.,PTS,03:00,26 Jul 2020,middleweight-ufc-men
Hermansson J.,Gastelum K.,1.9,1.91,Hermansson J.,SUBM,01:30,19 Jul 2020,middleweight-ufc-men
Phillips J.,Chimaev K.,4.5,1.21,Chimaev K.,SUBM,01:30,16 Jul 2020,middleweight-ufc-men
Allen B.,Daukaus K.,1.32,3.37,Allen B.,PTS,01:00,28 Jun 2020,middleweight-ufc-men
Heinisch I.,Allen B.,,,canc.,canc.,21:00,27 Jun 2020,middleweight-ufc-men
Barriault M.,Piechota O.,1.8,2.01,Barriault M.,TKO,22:30,20 Jun 2020,middleweight-ufc-men
Roberson K.,Vettori M.,2.8,1.46,Vettori M.,SUBM,02:30,14 Jun 2020,middleweight-ufc-men
Heinisch I.,Meerschaert G.,1.73,2.13,Heinisch I.,TKO,01:00,07 Jun 2020,middleweight-ufc-men
Anders E.,Jotko K.,2.11,1.74,Jotko K.,PTS,01:30,17 May 2020,middleweight-ufc-men
Soriano P.,Hernandez A.,,,canc.,canc.,21:00,16 May 2020,middleweight-ufc-men
Roberson K.,Vettori M.,2.62,1.52,canc.,canc.,01:00,14 May 2020,middleweight-ufc-men
Hall U.,Souza R.,,,canc.,canc.,00:00,10 May 2020,middleweight-ufc-men
Weidman C.,Hermansson J.,,,canc.,canc.,21:00,02 May 2020,middleweight-ufc-men
Cummings Z.,Sanchez A.,,,canc.,canc.,21:00,25 Apr 2020,middleweight-ufc-men
Muradov M.,Roberson K.,,,canc.,canc.,02:00,19 Apr 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,2.82,1.42,postp.,postp.,21:00,11 Apr 2020,middleweight-ufc-men
Soriano P.,Spicely E.,,,canc.,canc.,22:00,28 Mar 2020,middleweight-ufc-men
Holland K.,Marshman J.,,,postp.,postp.,18:00,21 Mar 2020,middleweight-ufc-men
Stewart D.,Vettori M.,,,postp.,postp.,18:00,21 Mar 2020,middleweight-ufc-men
Tavares B.,Carlos Junior A.,,,canc.,canc.,22:00,14 Mar 2020,middleweight-ufc-men
Adesanya I.,Romero Y.,1.33,3.27,Adesanya I.,PTS,05:00,08 Mar 2020,middleweight-ufc-men
Winn D.,Meerschaert G.,1.74,2.1,Meerschaert G.,SUBM,01:00,08 Mar 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,,,canc.,canc.,22:00,07 Mar 2020,middleweight-ufc-men
Allen B.,Breese T.,2.22,1.66,Allen B.,TKO,00:00,01 Mar 2020,middleweight-ufc-men
Giles T.,Arroyo A.,,,canc.,canc.,02:30,09 Feb 2020,middleweight-ufc-men
Lewis B.,Townsend D.,1.24,3.99,Lewis B.,PTS,00:30,26 Jan 2020,middleweight-ufc-men
Fabinski B.,Muniz A.,1.66,2.21,Muniz A.,SUBM,23:00,05 Sep 2020,middleweight-ufc-men
Pitolo M.,Kasanganay I.,2.22,1.66,Kasanganay I.,PTS,00:30,30 Aug 2020,middleweight-ufc-men
Cummings Z.,Di Chirico A.,2.11,1.73,Cummings Z.,PTS,23:30,29 Aug 2020,middleweight-ufc-men
Romero Y.,Hall U.,,,canc.,canc.,23:00,22 Aug 2020,middleweight-ufc-men
Whittaker R.,Till D.,,,canc.,canc.,23:00,15 Aug 2020,middleweight-ufc-men
Akhmedov O.,Weidman C.,2.22,1.67,Weidman C.,PTS,02:30,09 Aug 2020,middleweight-ufc-men
Holland K.,Buckley J.,1.21,4.49,Holland K.,TKO,00:00,09 Aug 2020,middleweight-ufc-men
Sanchez A.,Turman W.,2.16,1.7,Sanchez A.,KO,23:00,08 Aug 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,3.87,1.26,Brunson D.,TKO,03:00,02 Aug 2020,middleweight-ufc-men
Giles T.,Park J. Y.,,,canc.,canc.,23:00,01 Aug 2020,middleweight-ufc-men
Whittaker R.,Till D.,1.73,2.14,Whittaker R.,PTS,03:00,26 Jul 2020,middleweight-ufc-men
Hermansson J.,Gastelum K.,1.9,1.91,Hermansson J.,SUBM,01:30,19 Jul 2020,middleweight-ufc-men
Phillips J.,Chimaev K.,4.5,1.21,Chimaev K.,SUBM,01:30,16 Jul 2020,middleweight-ufc-men
Allen B.,Daukaus K.,1.32,3.37,Allen B.,PTS,01:00,28 Jun 2020,middleweight-ufc-men
Heinisch I.,Allen B.,,,canc.,canc.,21:00,27 Jun 2020,middleweight-ufc-men
Barriault M.,Piechota O.,1.8,2.01,Barriault M.,TKO,22:30,20 Jun 2020,middleweight-ufc-men
Roberson K.,Vettori M.,2.8,1.46,Vettori M.,SUBM,02:30,14 Jun 2020,middleweight-ufc-men
Heinisch I.,Meerschaert G.,1.73,2.13,Heinisch I.,TKO,01:00,07 Jun 2020,middleweight-ufc-men
Anders E.,Jotko K.,2.11,1.74,Jotko K.,PTS,01:30,17 May 2020,middleweight-ufc-men
Soriano P.,Hernandez A.,,,canc.,canc.,21:00,16 May 2020,middleweight-ufc-men
Roberson K.,Vettori M.,2.62,1.52,canc.,canc.,01:00,14 May 2020,middleweight-ufc-men
Hall U.,Souza R.,,,canc.,canc.,00:00,10 May 2020,middleweight-ufc-men
Weidman C.,Hermansson J.,,,canc.,canc.,21:00,02 May 2020,middleweight-ufc-men
Cummings Z.,Sanchez A.,,,canc.,canc.,21:00,25 Apr 2020,middleweight-ufc-men
Muradov M.,Roberson K.,,,canc.,canc.,02:00,19 Apr 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,2.82,1.42,postp.,postp.,21:00,11 Apr 2020,middleweight-ufc-men
Soriano P.,Spicely E.,,,canc.,canc.,22:00,28 Mar 2020,middleweight-ufc-men
Holland K.,Marshman J.,,,postp.,postp.,18:00,21 Mar 2020,middleweight-ufc-men
Stewart D.,Vettori M.,,,postp.,postp.,18:00,21 Mar 2020,middleweight-ufc-men
Tavares B.,Carlos Junior A.,,,canc.,canc.,22:00,14 Mar 2020,middleweight-ufc-men
Adesanya I.,Romero Y.,1.33,3.27,Adesanya I.,PTS,05:00,08 Mar 2020,middleweight-ufc-men
Winn D.,Meerschaert G.,1.74,2.1,Meerschaert G.,SUBM,01:00,08 Mar 2020,middleweight-ufc-men
Brunson D.,Shahbazyan E.,,,canc.,canc.,22:00,07 Mar 2020,middleweight-ufc-men
Allen B.,Breese T.,2.22,1.66,Allen B.,TKO,00:00,01 Mar 2020,middleweight-ufc-men
Giles T.,Arroyo A.,,,canc.,canc.,02:30,09 Feb 2020,middleweight-ufc-men
Lewis B.,Townsend D.,1.24,3.99,Lewis B.,PTS,00:30,26 Jan 2020,middleweight-ufc-men
Edwards L.,Usman K.,3.18,1.36,Usman K.,PTS,20:30,19 Dec 2015,welterweight-ufc-men
Maia D.,Nelson G.,2.02,1.8,Maia D.,PTS,03:00,13 Dec 2015,welterweight-ufc-men
McGee C.,Junior M. A.,1.56,2.43,McGee C.,PTS,23:00,12 Dec 2015,welterweight-ufc-men
LaFlare R.,Pierce M.,1.44,2.83,LaFlare R.,PTS,23:00,11 Dec 2015,welterweight-ufc-men
Akhmedov O.,Moraes S.,1.71,2.14,Moraes S.,TKO,23:45,10 Dec 2015,welterweight-ufc-men
Ponzinibbio S.,Stahl A.,1.52,2.55,Ponzinibbio S.,TKO,23:45,10 Dec 2015,welterweight-ufc-men
Kim D. H.,Waters D.,,,KO,KO,20:00,28 Nov 2015,welterweight-ufc-men
Henderson B.,Masvidal J.,1.41,2.91,Henderson B.,PTS,13:00,28 Nov 2015,welterweight-ufc-men
Magny N.,Gastelum K.,3.36,1.32,Magny N.,PTS,03:00,22 Nov 2015,welterweight-ufc-men
Ramos V.,Herrera A.,1.57,2.37,Herrera A.,KO,00:00,22 Nov 2015,welterweight-ufc-men
Noke K.,Sobotta P.,2.81,1.43,Noke K.,TKO,01:00,15 Nov 2015,welterweight-ufc-men
Walsh R.,Kennedy S.,1.26,3.79,Walsh R.,PTS,23:15,14 Nov 2015,welterweight-ufc-men
Andrade V.,Umalatov G.,2.05,1.75,Andrade V.,PTS,23:30,07 Nov 2015,welterweight-ufc-men
Dalby N.,Till D.,1.97,1.78,Draw,Draw,20:00,24 Oct 2015,welterweight-ufc-men
Hendricks J.,Woodley T.,,,canc.,canc.,23:00,03 Oct 2015,welterweight-ufc-men
Anzai S.,Zapata R.,1.85,1.92,Anzai S.,TKO,00:00,27 Sep 2015,welterweight-ufc-men
Aubin-Mercier O.,Sims T.,1.41,2.84,Aubin-Mercier O.,PTS,01:00,24 Aug 2015,welterweight-ufc-men
Magny N.,Silva E.,2.51,1.51,Magny N.,PTS,01:00,24 Aug 2015,welterweight-ufc-men
Alves W.,Taleb N.,1.35,3.16,Alves W.,TKO,00:00,02 Aug 2015,welterweight-ufc-men
Kim D. H.,Saffiedine T.,1.67,2.19,Kim D. H.,PTS,03:00,31 Dec 2016,welterweight-ufc-men
Pyle M.,Garcia A.,2.58,1.5,Garcia A.,KO,01:00,31 Dec 2016,welterweight-ufc-men
Oliveira A.,Means T.,1.68,2.17,Draw,Draw,00:30,31 Dec 2016,welterweight-ufc-men
Jouban A.,Perry M.,2.15,1.7,Jouban A.,PTS,01:00,18 Dec 2016,welterweight-ufc-men
Barberena B.,Covington C.,3.88,1.26,Covington C.,PTS,23:00,17 Dec 2016,welterweight-ufc-men
Velickovic B.,Aliev S.,,,PTS,PTS,21:30,17 Dec 2016,welterweight-ufc-men
Cerrone D.,Brown M.,1.32,3.36,Cerrone D.,KO,03:00,11 Dec 2016,welterweight-ufc-men
Brown R.,Camozzi B.,1.59,2.34,Brown R.,TKO,22:30,09 Dec 2016,welterweight-ufc-men
Ellenberger J.,Masvidal J.,2.84,1.43,Masvidal J.,TKO,03:00,04 Dec 2016,welterweight-ufc-men
Noke K.,Akhmedov O.,2.06,1.77,Akhmedov O.,PTS,03:00,27 Nov 2016,welterweight-ufc-men
Alves W.,Usman K.,2.62,1.49,Usman K.,PTS,02:00,20 Nov 2016,welterweight-ufc-men
Cummings Z.,Yakovlev A.,1.58,2.38,Cummings Z.,SUBM,17:15,19 Nov 2016,welterweight-ufc-men
Woodley T.,Thompson S.,2.92,1.46,Draw,Draw,05:30,13 Nov 2016,welterweight-ufc-men
Luque V.,Muhammad B.,1.85,1.96,Luque V.,KO,01:00,13 Nov 2016,welterweight-ufc-men
Montano E.,Griffin M.,2.15,1.7,Griffin M.,TKO,00:00,06 Nov 2016,welterweight-ufc-men
Edwards L.,Tumenov A.,2.96,1.4,Edwards L.,SUBM,00:00,09 Oct 2016,welterweight-ufc-men
Roberts D.,Perry M.,1.86,1.94,Perry M.,KO,22:30,08 Oct 2016,welterweight-ufc-men
Burkman J.,Ottow Z.,1.4,2.98,Ottow Z.,PTS,03:00,02 Oct 2016,welterweight-ufc-men
Silva E.,Chagas L.,2.07,1.76,Silva E.,PTS,00:00,25 Sep 2016,welterweight-ufc-men
Luque V.,Urbina H.,1.18,4.93,Luque V.,KO,22:30,24 Sep 2016,welterweight-ufc-men
Carneiro R.,Robertson K.,2.04,1.8,Carneiro R.,PTS,02:00,18 Sep 2016,welterweight-ufc-men
Montano E.,Brown R.,4.77,1.19,Brown R.,SUBM,23:00,17 Sep 2016,welterweight-ufc-men
Brooks P.,Gall M.,4.07,1.24,Gall M.,SUBM,02:00,11 Sep 2016,welterweight-ufc-men
Ayari J.,Wallhead J.,2.15,1.69,Ayari J.,PTS,15:45,03 Sep 2016,welterweight-ufc-men
Maia D.,Condit C.,1.98,1.83,Maia D.,SUBM,00:00,28 Aug 2016,welterweight-ufc-men
Diaz N.,McGregor C.,2.21,1.68,McGregor C.,PTS,02:00,21 Aug 2016,welterweight-ufc-men
